NAME                  READY   STATUS    RESTARTS   AGE
ui-6f577c4998-9jbbt   1/1     Running   0          5m54s
ui-6f577c4998-bvjpn   1/1     Running   0          5m54s
ui-6f577c4998-d9wbx   1/1     Running   0          5m54s
ui-6f577c4998-fs7wl   1/1     Running   0          5m54s
ui-6f577c4998-jbrkj   1/1     Running   0          5m54s
ui-6f577c4998-k28pt   1/1     Running   0          5m54s
ui-6f577c4998-n87jc   1/1     Running   0          41m
ui-6f577c4998-stkd7   1/1     Running   0          5m54s
ui-6f577c4998-tlnpw   1/1     Running   0          5m54s
ui-6f577c4998-wf5r4   1/1     Running   0          5m54s
